Nome Cliente;Marca;Modelo;Método Pagamento;Bairro;Entrada;Saída
Vicente Lima;Chevrolet;Cruze;Cartão;Bangu;2023-08-14 13:57:46;2023-08-14 17:57:46
Amanda Almeida;Hyundai;Creta;Dinheiro;Leblon;2024-10-25 15:53:22;2024-10-26 03:53:22
Roberto Dias;Jeep;Compass;App;Laranjeiras;2023-09-20 06:08:18;2023-09-20 12:08:18
Eduardo Ribeiro;Ford;Ka;App;Vila Isabel;2024-06-12 11:08:24;2024-06-12 14:08:24
Hugo Campos;Honda;Civic;Cartão;Leblon;2023-09-17 11:37:37;2023-09-18 01:37:37
Eliane Barros;Chevrolet;Cruze;Cartão;Ipanema;2023-03-15 11:23:49;2023-03-15 20:23:49
Elisa Moraes;Ford;Fiesta;Dinheiro;Recreio dos Bandeirantes;2023-04-13 05:57:22;2023-04-13 07:57:22
Rafaela Oliveira;Ford;Fiesta;Dinheiro;Glória;2024-06-18 09:58:45;2024-06-18 13:58:45
Daniel Barbosa;Renault;Sandero;App;Glória;2024-07-14 12:23:43;2024-07-15 04:23:43
Pedro Batista;Volkswagen;Gol;App;Ipanema;2023-04-23 02:14:16;2023-04-23 07:14:16
Eduardo Moura;Nissan;March;App;Méier;2023-07-19 18:57:47;2023-07-20 00:57:47
Simone Medeiros;Ford;Ka;Dinheiro;Urca;2024-11-24 20:09:34;2024-11-25 04:09:34
Carolina Rocha;Hyundai;HB20;Cartão;Centro;2024-11-16 03:45:35;2024-11-16 04:45:35
Fernanda Ribeiro;Nissan;Kicks;Cartão;Gávea;2024-12-10 15:55:30;2024-12-10 17:55:30
Stefany Ribeiro;Ford;Fiesta;Dinheiro;Urca;2023-12-28 20:25:11;2023-12-29 03:25:11
Andressa Borges;Honda;Civic;Dinheiro;Centro;2024-07-23 08:48:57;2024-07-23 11:48:57
Daniel Silva;Hyundai;HB20;App;Madureira;2024-08-15 22:59:14;2024-08-16 10:59:14
Adriana Monteiro;Renault;Sandero;Cartão;Méier;2024-04-19 18:29:23;2024-04-20 01:29:23
Pietro Fonseca;Nissan;Kicks;Cartão;Santa Cruz;2024-06-27 08:26:29;2024-06-27 17:26:29
Marcos Campos;Hyundai;HB20;Dinheiro;Recreio dos Bandeirantes;2023-07-02 15:02:32;2023-07-02 16:02:32
Karina Pinto;Chevrolet;Onix;Cartão;Copacabana;2024-10-26 23:14:15;2024-10-27 01:14:15
Amanda Lopes;Jeep;Renegade;App;Copacabana;2024-04-17 17:51:58;2024-04-18 02:51:58
Lucas Almeida;Volkswagen;Polo;App;Gávea;2023-06-18 01:37:13;2023-06-18 20:37:13
Karen Marques;Renault;Duster;App;Botafogo;2023-09-05 08:06:54;2023-09-05 12:06:54
Erick Alves;Jeep;Renegade;App;Urca;2023-05-27 02:57:24;2023-05-27 05:57:24
Rodrigo Oliveira;Ford;Ka;Cartão;Centro;2024-11-19 05:41:33;2024-11-20 01:41:33
Renan Martins;Toyota;Corolla;Cartão;Botafogo;2024-02-14 02:22:30;2024-02-14 05:22:30
Paula Lopes;Jeep;Renegade;Dinheiro;Recreio dos Bandeirantes;2024-07-29 22:18:16;2024-07-29 23:18:16
Marcela Fonseca;Renault;Duster;Dinheiro;Sulacap;2023-03-11 12:22:16;2023-03-11 19:22:16
Leandro Batista;Nissan;March;Dinheiro;Santa Cruz;2024-01-24 01:57:16;2024-01-24 02:57:16
Amanda Souza;Toyota;Corolla;Dinheiro;Santa Teresa;2023-05-08 13:25:50;2023-05-08 17:25:50
Rose Barbosa;Ford;Fiesta;Cartão;Santa Cruz;2023-12-25 23:43:07;2023-12-26 01:43:07
Carla Castro;Jeep;Renegade;App;Glória;2024-04-07 04:21:31;2024-04-07 05:21:31
Nadia Lima;Fiat;Uno;Dinheiro;Lapa;2023-11-13 10:05:28;2023-11-13 12:05:28
Fabrício Teixeira;Renault;Duster;Dinheiro;Madureira;2024-12-28 10:48:45;2024-12-28 20:48:45
Vicente Rocha;Honda;Fit;Cartão;Recreio dos Bandeirantes;2024-03-24 08:07:47;2024-03-24 17:07:47
João Campos;Volkswagen;Gol;Dinheiro;Leblon;2023-07-03 05:50:41;2023-07-04 04:50:41
Gabriela Moraes;Renault;Duster;App;Urca;2024-04-20 00:05:18;2024-04-20 09:05:18
Eliana Nogueira;Volkswagen;Gol;Dinheiro;Gávea;2023-01-23 05:38:03;2023-01-23 16:38:03
Rodrigo Monteiro;Fiat;Argo;Cartão;Santa Teresa;2023-03-09 10:38:24;2023-03-09 18:38:24
Túlio Marques;Fiat;Uno;App;Méier;2024-01-18 00:02:16;2024-01-18 03:02:16
Barbara Fernandes;Chevrolet;Onix;Cartão;Laranjeiras;2024-01-27 20:01:00;2024-01-27 22:01:00
André Pinto;Chevrolet;Cruze;Cartão;Campo Grande;2024-05-20 21:42:38;2024-05-21 03:42:38
Michelle Santana;Volkswagen;Gol;App;Vila Isabel;2024-04-11 07:58:58;2024-04-11 10:58:58
Stella Duarte;Ford;Fiesta;Dinheiro;Leblon;2024-06-23 23:21:40;2024-06-24 11:21:40
Márcia Alves;Toyota;Corolla;App;Gávea;2024-02-23 21:38:30;2024-02-24 06:38:30
Mariana Lopes;Honda;Civic;Dinheiro;Leblon;2023-07-08 14:00:05;2023-07-09 07:00:05
Igor Fonseca;Renault;Sandero;Cartão;Glória;2023-02-02 17:48:56;2023-02-03 02:48:56
Erick Duarte;Volkswagen;Gol;App;Botafogo;2024-01-20 11:22:38;2024-01-20 14:22:38
Luciana Marques;Ford;Fiesta;Cartão;Laranjeiras;2024-08-10 21:01:08;2024-08-11 17:01:08
Marcela Lopes;Fiat;Uno;Dinheiro;Bangu;2023-02-01 05:32:12;2023-02-02 00:32:12
Nicole Pereira;Fiat;Uno;Cartão;Méier;2023-02-17 20:47:26;2023-02-18 06:47:26
Joaquim Barros;Volkswagen;Gol;App;Méier;2024-04-08 10:41:10;2024-04-09 08:41:10
Felipe Souza;Ford;Ka;Dinheiro;Recreio dos Bandeirantes;2023-12-25 05:10:33;2023-12-25 06:10:33
Emily Barros;Nissan;March;Dinheiro;Vila Isabel;2024-05-05 22:49:56;2024-05-06 09:49:56
Stella Lima;Ford;Fiesta;Cartão;Recreio dos Bandeirantes;2024-05-15 23:34:15;2024-05-16 08:34:15
Miguel Duarte;Honda;Civic;Cartão;Lapa;2023-07-28 00:33:27;2023-07-28 18:33:27
Bruno Pinto;Nissan;Kicks;Cartão;Ipanema;2023-04-23 18:47:26;2023-04-23 23:47:26
Marcelo Dias;Toyota;Yaris;Dinheiro;Santa Teresa;2024-05-07 23:53:18;2024-05-08 10:53:18
Hugo Moraes;Nissan;Kicks;Cartão;Urca;2024-07-11 09:10:13;2024-07-11 10:10:13
Paulo Ferraz;Honda;Fit;Cartão;Leblon;2024-05-14 16:23:15;2024-05-14 19:23:15
Claudio Garcia;Renault;Sandero;App;Santa Teresa;2023-09-10 03:21:54;2023-09-10 07:21:54
Emily Dias;Honda;Fit;Cartão;Méier;2024-06-12 10:05:42;2024-06-13 07:05:42
Leandro Nogueira;Volkswagen;Polo;Cartão;Ipanema;2023-07-20 07:36:06;2023-07-20 20:36:06
Marcela Ferraz;Jeep;Compass;Dinheiro;Laranjeiras;2024-08-08 05:53:51;2024-08-08 14:53:51
Diego Freitas;Honda;Civic;Dinheiro;Santa Teresa;2023-03-26 14:39:18;2023-03-26 17:39:18
Karina Medeiros;Nissan;March;Cartão;Urca;2024-10-04 23:02:18;2024-10-05 06:02:18
Lorena Reis;Nissan;Kicks;Cartão;Taquara;2024-02-05 03:36:01;2024-02-05 09:36:01
Renan Gomes;Hyundai;HB20;Dinheiro;Urca;2024-01-02 21:56:41;2024-01-02 23:56:41
Mauro Moraes;Toyota;Corolla;Cartão;Barra da Tijuca;2023-03-13 06:02:08;2023-03-14 02:02:08
André Gonçalves;Honda;Civic;App;Gávea;2024-04-14 14:54:16;2024-04-15 11:54:16
Fernanda Ferraz;Honda;Fit;Dinheiro;Gávea;2023-11-12 23:26:06;2023-11-13 16:26:06
Stefany Garcia;Fiat;Argo;App;Campo Grande;2023-10-15 04:24:23;2023-10-15 07:24:23
Nadia Martins;Honda;Fit;Cartão;Botafogo;2023-11-14 12:23:56;2023-11-15 11:23:56
Rafael Gomes;Toyota;Yaris;Cartão;Santa Cruz;2024-01-28 20:58:52;2024-01-29 10:58:52
Manoel Barbosa;Chevrolet;Onix;App;Urca;2023-04-12 11:32:03;2023-04-12 23:32:03
Erick Pereira;Chevrolet;Onix;App;Campo Grande;2024-05-24 08:07:50;2024-05-24 13:07:50
Bruno Neves;Hyundai;Creta;Cartão;Leblon;2024-01-18 12:38:40;2024-01-18 22:38:40
Eliane Mendes;Hyundai;Creta;Dinheiro;Copacabana;2023-09-23 08:47:21;2023-09-23 16:47:21
Emerson Pinto;Toyota;Corolla;App;Bangu;2023-06-15 22:16:34;2023-06-15 23:16:34
Amanda Moraes;Jeep;Renegade;App;Madureira;2024-01-30 20:52:52;2024-01-30 23:52:52
Simone Fernandes;Volkswagen;Polo;Dinheiro;Gávea;2023-03-05 02:14:36;2023-03-05 21:14:36
Eduardo Campos;Hyundai;Creta;App;Barra da Tijuca;2023-01-15 05:36:20;2023-01-15 09:36:20
Manoel Borges;Chevrolet;Cruze;Dinheiro;Copacabana;2024-12-24 03:26:38;2024-12-24 07:26:38
Paulo Pinto;Toyota;Corolla;App;Urca;2023-02-13 09:53:58;2023-02-13 18:53:58
Nina Rocha;Jeep;Renegade;Dinheiro;Tijuca;2023-11-03 04:28:28;2023-11-03 22:28:28
Luís Barbosa;Volkswagen;Gol;Cartão;Méier;2024-11-17 05:45:52;2024-11-17 08:45:52
Mário Gonçalves;Toyota;Yaris;App;Santa Cruz;2024-03-20 21:23:32;2024-03-20 22:23:32
Eliana Freitas;Fiat;Uno;Dinheiro;Recreio dos Bandeirantes;2023-03-28 12:09:30;2023-03-29 12:09:30
Renan Fonseca;Volkswagen;Polo;Dinheiro;Méier;2024-11-08 14:41:03;2024-11-08 17:41:03
Amanda Carvalho;Chevrolet;Cruze;Dinheiro;Catete;2023-01-20 19:51:46;2023-01-20 21:51:46
Sarah Batista;Chevrolet;Cruze;App;Tijuca;2024-03-02 03:19:33;2024-03-02 06:19:33
João Ferraz;Nissan;March;Dinheiro;Santa Teresa;2023-08-18 09:27:27;2023-08-18 19:27:27
Ana Castro;Toyota;Yaris;App;Méier;2024-02-13 04:10:51;2024-02-13 11:10:51
Paula Ribeiro;Chevrolet;Cruze;Dinheiro;Méier;2023-02-13 23:32:35;2023-02-14 02:32:35
Carla Carvalho;Honda;Fit;Dinheiro;Vila Isabel;2023-08-05 17:23:08;2023-08-05 20:23:08
Hugo Santana;Honda;Fit;Dinheiro;Tijuca;2023-05-24 17:03:02;2023-05-25 14:03:02
Rodrigo Moura;Jeep;Renegade;Cartão;Recreio dos Bandeirantes;2023-06-09 08:57:24;2023-06-09 18:57:24
Karina Lima;Hyundai;HB20;App;Taquara;2023-06-04 12:06:25;2023-06-04 15:06:25
Mário Nogueira;Chevrolet;Cruze;Cartão;Leblon;2024-04-03 19:35:27;2024-04-04 19:35:27
Vitor Medeiros;Ford;Ka;Cartão;Bangu;2023-09-22 00:30:24;2023-09-22 06:30:24
Leonardo Machado;Ford;Fiesta;Cartão;Vila Isabel;2023-05-22 17:10:21;2023-05-23 05:10:21
Diego Marques;Ford;Ka;App;Bangu;2023-05-22 23:12:34;2023-05-23 00:12:34
Simone Ferraz;Renault;Sandero;App;Copacabana;2024-09-02 12:49:32;2024-09-02 17:49:32
Cristiane Teixeira;Chevrolet;Cruze;App;Jardim Botânico;2024-03-26 23:57:27;2024-03-27 11:57:27
Felipe Rocha;Nissan;Kicks;App;Leblon;2023-03-27 22:58:20;2023-03-28 09:58:20
Lorena Almeida;Nissan;March;Cartão;Copacabana;2024-01-20 05:00:38;2024-01-20 12:00:38
Tania Marques;Ford;Ka;App;Jardim Botânico;2024-02-07 11:18:26;2024-02-07 22:18:26
César Rodrigues;Ford;Fiesta;Dinheiro;Santa Teresa;2023-07-06 11:49:19;2023-07-06 12:49:19
Julia Dias;Ford;Fiesta;Dinheiro;Gávea;2023-08-02 17:40:10;2023-08-03 10:40:10
Nina Miranda;Hyundai;Creta;App;Lapa;2023-02-13 23:24:21;2023-02-14 00:24:21
Estela Fernandes;Hyundai;HB20;App;Centro;2023-06-16 17:59:21;2023-06-16 20:59:21
Daniela Gonçalves;Chevrolet;Onix;Dinheiro;Catete;2024-02-01 14:29:09;2024-02-01 17:29:09
Julia Pinto;Chevrolet;Onix;Dinheiro;Catete;2023-07-25 03:01:51;2023-07-25 05:01:51
Juliano Lopes;Toyota;Yaris;Dinheiro;Urca;2023-09-05 18:57:41;2023-09-05 23:57:41
Marcelo Lopes;Toyota;Corolla;Dinheiro;Laranjeiras;2024-11-30 21:13:10;2024-11-30 23:13:10
Raquel Barbosa;Volkswagen;Gol;Cartão;Laranjeiras;2023-07-14 01:32:27;2023-07-14 04:32:27
Gustavo Mendes;Ford;Fiesta;App;Lapa;2023-02-05 15:14:58;2023-02-06 02:14:58
Paulo Batista;Jeep;Compass;Cartão;Recreio dos Bandeirantes;2024-08-21 18:13:46;2024-08-22 02:13:46
Mariana Mendes;Hyundai;HB20;App;Leblon;2024-07-28 00:38:39;2024-07-28 01:38:39
Ana Fonseca;Fiat;Argo;Dinheiro;Santa Cruz;2023-01-26 13:12:34;2023-01-26 15:12:34
Claudio Santana;Jeep;Compass;Dinheiro;Laranjeiras;2024-12-13 05:26:28;2024-12-13 06:26:28
Ricardo Rocha;Renault;Duster;Cartão;Santa Cruz;2023-01-23 10:25:28;2023-01-23 17:25:28
Mateus Almeida;Renault;Sandero;App;Campo Grande;2024-12-15 21:09:42;2024-12-15 23:09:42
Rosana Medeiros;Nissan;Kicks;Cartão;Leblon;2023-08-04 23:21:59;2023-08-05 09:21:59
Juliana Souza;Honda;Fit;App;Copacabana;2024-07-20 16:39:30;2024-07-21 03:39:30
Amanda Alves;Fiat;Uno;Dinheiro;Taquara;2024-05-22 06:22:13;2024-05-22 18:22:13
Raquel Pereira;Hyundai;Creta;App;Taquara;2023-03-10 17:48:11;2023-03-10 18:48:11
Renato Reis;Jeep;Renegade;App;Barra da Tijuca;2023-03-20 11:41:48;2023-03-20 23:41:48
Cristiane Moraes;Nissan;Kicks;Cartão;Lapa;2024-08-01 01:16:24;2024-08-01 15:16:24
Matheus Moura;Ford;Ka;App;Urca;2023-07-28 11:34:02;2023-07-29 04:34:02
Guilherme Almeida;Volkswagen;Polo;Cartão;Santa Teresa;2023-06-09 14:12:41;2023-06-09 19:12:41
Sophia Reis;Hyundai;Creta;App;Lapa;2024-10-31 09:21:25;2024-10-31 11:21:25
Mirella Rocha;Hyundai;Creta;Cartão;Jardim Botânico;2024-03-06 14:10:17;2024-03-07 02:10:17
Gustavo Melo;Volkswagen;Polo;Cartão;Botafogo;2024-08-09 22:30:13;2024-08-10 20:30:13
Estela Fernandes;Jeep;Compass;Cartão;Laranjeiras;2023-11-20 18:38:02;2023-11-20 21:38:02
Sarah Costa;Fiat;Argo;Dinheiro;Madureira;2023-01-29 15:17:04;2023-01-30 01:17:04
Cristiane Santos;Toyota;Yaris;Cartão;Centro;2023-09-26 04:56:14;2023-09-26 10:56:14
Barbara Almeida;Chevrolet;Cruze;Dinheiro;Barra da Tijuca;2024-10-07 07:20:59;2024-10-07 19:20:59
Guilherme Duarte;Ford;Ka;App;Recreio dos Bandeirantes;2023-02-11 17:33:41;2023-02-12 05:33:41
Mariana Batista;Ford;Ka;Dinheiro;Glória;2024-12-22 22:09:57;2024-12-23 00:09:57
Marcela Fernandes;Hyundai;HB20;Cartão;Madureira;2023-03-28 22:36:27;2023-03-29 00:36:27
Enzo Fonseca;Jeep;Compass;Dinheiro;Tijuca;2023-10-28 08:29:15;2023-10-28 10:29:15
Márcia Mendes;Nissan;Kicks;App;Ipanema;2024-10-02 00:14:28;2024-10-02 10:14:28
Mauro Moreira;Volkswagen;Gol;Cartão;Ipanema;2024-09-24 05:34:35;2024-09-24 16:34:35
Flávia Freitas;Renault;Duster;Dinheiro;Gávea;2023-09-21 05:31:40;2023-09-21 15:31:40
Nadia Ribeiro;Ford;Ka;App;Barra da Tijuca;2023-02-17 00:16:32;2023-02-18 00:16:32
Carolina Gonçalves;Nissan;March;App;Méier;2023-12-11 22:23:00;2023-12-11 23:23:00
Carlos Miranda;Honda;Fit;Cartão;Santa Cruz;2023-09-28 12:45:32;2023-09-29 02:45:32
Eduardo Castro;Ford;Ka;Cartão;Recreio dos Bandeirantes;2023-11-04 07:20:52;2023-11-04 09:20:52
Isadora Rodrigues;Jeep;Compass;App;Méier;2023-02-25 06:30:11;2023-02-25 18:30:11
Gisele Mendes;Fiat;Uno;Cartão;Centro;2023-07-09 22:40:16;2023-07-10 01:40:16
Rebeca Santana;Renault;Duster;Cartão;Jardim Botânico;2023-09-01 00:14:42;2023-09-01 15:14:42
Melissa Castro;Toyota;Corolla;Cartão;Ipanema;2023-06-27 18:50:02;2023-06-27 19:50:02
Claudio Teixeira;Ford;Fiesta;Cartão;Glória;2023-05-23 20:12:46;2023-05-24 10:12:46
Márcia Castro;Volkswagen;Gol;Dinheiro;Sulacap;2024-02-09 15:50:59;2024-02-10 03:50:59
Adriana Carvalho;Nissan;March;Cartão;Laranjeiras;2024-11-23 01:43:11;2024-11-23 12:43:11
Simone Freitas;Renault;Duster;Dinheiro;Santa Cruz;2023-11-13 13:38:23;2023-11-13 15:38:23
Tania Moura;Nissan;Kicks;Cartão;Catete;2023-07-20 17:48:07;2023-07-20 18:48:07
Gustavo Gomes;Ford;Fiesta;Dinheiro;Gávea;2023-11-13 12:04:03;2023-11-13 23:04:03
Renan Silva;Toyota;Yaris;Dinheiro;Copacabana;2023-12-30 07:06:40;2023-12-30 11:06:40
Tania Teixeira;Fiat;Uno;Dinheiro;Santa Cruz;2024-09-13 14:27:27;2024-09-13 21:27:27
Gustavo Fonseca;Jeep;Compass;App;Campo Grande;2023-02-05 04:56:29;2023-02-05 14:56:29
Ana Marques;Chevrolet;Cruze;Dinheiro;Centro;2024-09-14 01:21:11;2024-09-14 03:21:11
Sofia Marques;Jeep;Renegade;Cartão;Sulacap;2023-09-07 11:26:12;2023-09-08 00:26:12
Renato Lopes;Toyota;Corolla;Dinheiro;Campo Grande;2023-01-14 02:58:41;2023-01-14 03:58:41
Caio Nogueira;Ford;Fiesta;Dinheiro;Bangu;2024-09-16 03:01:05;2024-09-16 06:01:05
Renan Alves;Chevrolet;Onix;Cartão;Madureira;2023-01-08 12:51:53;2023-01-08 21:51:53
Giulia Nogueira;Fiat;Uno;Cartão;Sulacap;2023-12-17 12:59:00;2023-12-17 16:59:00
Rebeca Moraes;Ford;Fiesta;Cartão;Taquara;2024-03-04 04:18:45;2024-03-04 09:18:45
Pietro Borges;Renault;Duster;Dinheiro;Ipanema;2024-08-25 19:38:26;2024-08-26 04:38:26
Tatiana Vieira;Renault;Sandero;Cartão;Sulacap;2024-04-21 00:47:05;2024-04-21 08:47:05
Raquel Pinto;Ford;Ka;Dinheiro;Bangu;2024-07-22 05:28:30;2024-07-22 15:28:30
Tania Ribeiro;Honda;Fit;App;Laranjeiras;2024-05-30 01:29:33;2024-05-30 02:29:33
Erick Reis;Renault;Sandero;App;Centro;2024-04-19 16:39:14;2024-04-20 16:39:14
Stella Cardoso;Hyundai;HB20;App;Glória;2023-02-03 13:23:31;2023-02-04 05:23:31
Vicente Dias;Fiat;Uno;Cartão;Laranjeiras;2024-04-03 07:59:35;2024-04-03 19:59:35
Nicole Santana;Fiat;Uno;Cartão;Madureira;2024-04-07 15:55:10;2024-04-07 16:55:10
César Barros;Chevrolet;Cruze;Dinheiro;Sulacap;2023-05-27 20:56:26;2023-05-28 07:56:26
Clarice Moreira;Ford;Ka;Dinheiro;Lapa;2024-11-24 15:42:24;2024-11-24 23:42:24
Diego Castro;Fiat;Uno;Dinheiro;Campo Grande;2023-10-30 09:55:39;2023-10-30 13:55:39
Roberto Cardoso;Fiat;Argo;Dinheiro;Santa Teresa;2024-08-08 22:15:35;2024-08-09 08:15:35
Stefany Costa;Toyota;Yaris;Cartão;Recreio dos Bandeirantes;2023-02-04 15:13:13;2023-02-04 22:13:13
Emily Araujo;Hyundai;HB20;Cartão;Botafogo;2023-12-01 12:01:13;2023-12-01 23:01:13
Juliano Miranda;Nissan;Kicks;App;Laranjeiras;2023-02-05 00:56:27;2023-02-05 02:56:27
Paula Batista;Fiat;Uno;Cartão;Laranjeiras;2023-07-24 05:33:08;2023-07-24 14:33:08
Pedro Reis;Ford;Ka;Cartão;Urca;2024-11-24 06:18:17;2024-11-24 18:18:17
Fabiana Martins;Fiat;Uno;Cartão;Tijuca;2023-05-26 01:21:51;2023-05-26 04:21:51
Leonardo Freitas;Toyota;Yaris;Cartão;Catete;2023-03-25 16:33:10;2023-03-25 23:33:10
Karen Reis;Honda;Civic;Cartão;Leblon;2024-02-12 12:28:23;2024-02-13 00:28:23
Renata Ribeiro;Honda;Civic;Cartão;Recreio dos Bandeirantes;2024-06-11 10:00:00;2024-06-11 18:00:00
Emerson Castro;Ford;Ka;Cartão;Catete;2023-04-03 06:06:09;2023-04-03 15:06:09
Karen Ribeiro;Chevrolet;Onix;Cartão;Recreio dos Bandeirantes;2024-06-10 18:28:38;2024-06-11 04:28:38
Simone Lopes;Nissan;Kicks;Cartão;Tijuca;2024-10-17 07:24:33;2024-10-17 11:24:33
Simone Neves;Nissan;March;Cartão;Lapa;2024-12-01 07:29:21;2024-12-01 08:29:21
Tatiana Campos;Honda;Civic;App;Santa Teresa;2023-05-01 13:02:30;2023-05-01 22:02:30
Raquel Santana;Renault;Sandero;Dinheiro;Santa Teresa;2023-09-11 17:21:06;2023-09-11 21:21:06
Guilherme Barbosa;Ford;Fiesta;Cartão;Laranjeiras;2024-07-28 06:52:26;2024-07-29 06:52:26
Sophia Ferreira;Hyundai;HB20;Dinheiro;Copacabana;2024-05-11 19:04:36;2024-05-12 06:04:36
Isabela Dias;Volkswagen;Gol;Cartão;Jardim Botânico;2023-10-06 10:02:57;2023-10-06 20:02:57
Pedro Lopes;Ford;Ka;Cartão;Sulacap;2023-09-22 13:58:01;2023-09-22 14:58:01
Enzo Silva;Chevrolet;Onix;Dinheiro;Laranjeiras;2023-06-09 22:11:04;2023-06-10 01:11:04
Pedro Fonseca;Nissan;March;Dinheiro;Bangu;2023-09-23 09:24:55;2023-09-23 10:24:55
Ana Pereira;Toyota;Yaris;Dinheiro;Barra da Tijuca;2024-05-13 04:11:16;2024-05-13 11:11:16
Eduardo Barbosa;Chevrolet;Onix;App;Copacabana;2023-07-14 13:44:49;2023-07-14 18:44:49
Paulo Gonçalves;Volkswagen;Gol;Dinheiro;Madureira;2024-07-13 04:27:44;2024-07-13 15:27:44
Bruno Miranda;Volkswagen;Gol;Dinheiro;Barra da Tijuca;2023-11-28 09:19:39;2023-11-28 17:19:39
Julia Lima;Nissan;March;App;Urca;2023-09-18 11:48:02;2023-09-18 22:48:02
Henrique Almeida;Ford;Ka;App;Recreio dos Bandeirantes;2023-07-17 21:31:26;2023-07-18 03:31:26
Elisa Freitas;Toyota;Yaris;App;Copacabana;2024-05-18 17:40:47;2024-05-18 21:40:47
Simone Costa;Toyota;Corolla;App;Botafogo;2024-07-28 20:38:51;2024-07-29 05:38:51
Túlio Ribeiro;Hyundai;Creta;Cartão;Sulacap;2023-12-09 15:55:18;2023-12-09 21:55:18
Claudio Ribeiro;Hyundai;Creta;Dinheiro;Barra da Tijuca;2024-09-28 05:17:24;2024-09-28 13:17:24
Fabiana Marques;Toyota;Yaris;App;Ipanema;2024-11-02 10:41:37;2024-11-02 20:41:37
Samuel Campos;Nissan;March;Cartão;Centro;2023-07-09 18:09:12;2023-07-09 20:09:12
Hugo Gomes;Fiat;Uno;Cartão;Bangu;2023-09-07 16:03:03;2023-09-07 19:03:03
Michelle Fonseca;Fiat;Uno;App;Méier;2023-04-11 23:29:58;2023-04-12 21:29:58
Rose Garcia;Renault;Duster;App;Taquara;2023-09-24 06:46:55;2023-09-24 15:46:55
José Dias;Hyundai;HB20;App;Méier;2023-05-24 14:25:24;2023-05-25 09:25:24
Carolina Fonseca;Fiat;Uno;Cartão;Tijuca;2023-11-12 19:59:43;2023-11-13 04:59:43
Fabrício Santos;Hyundai;HB20;App;Ipanema;2023-06-14 06:39:40;2023-06-14 12:39:40
Rafaela Ferreira;Renault;Sandero;Dinheiro;Campo Grande;2023-03-11 12:34:05;2023-03-11 19:34:05
Gabriel Fernandes;Volkswagen;Gol;Dinheiro;Urca;2023-03-03 21:19:16;2023-03-04 09:19:16
Julia Medeiros;Honda;Civic;Cartão;Gávea;2024-11-30 15:37:15;2024-12-01 01:37:15
Arthur Ribeiro;Ford;Fiesta;Cartão;Botafogo;2023-12-02 16:49:11;2023-12-03 05:49:11
Nicolas Garcia;Hyundai;HB20;Dinheiro;Copacabana;2024-03-28 15:00:22;2024-03-29 14:00:22
Roberto Silva;Fiat;Uno;App;Santa Cruz;2023-01-25 00:00:37;2023-01-25 02:00:37
Francisco Freitas;Renault;Duster;App;Madureira;2023-03-28 22:02:58;2023-03-29 07:02:58
Ricardo Fernandes;Ford;Ka;App;Recreio dos Bandeirantes;2023-02-02 19:36:35;2023-02-02 20:36:35
Rodrigo Ribeiro;Hyundai;HB20;App;Centro;2024-03-25 01:52:06;2024-03-25 22:52:06
Julio Pereira;Ford;Fiesta;Dinheiro;Barra da Tijuca;2024-07-13 08:30:08;2024-07-13 12:30:08
Carolina Machado;Fiat;Uno;Dinheiro;Copacabana;2023-04-04 03:28:50;2023-04-04 06:28:50
Francisco Ribeiro;Fiat;Argo;Cartão;Gávea;2024-09-13 12:54:27;2024-09-14 08:54:27
Gustavo Batista;Chevrolet;Onix;App;Santa Teresa;2023-12-23 15:15:52;2023-12-24 05:15:52
Luís Silva;Nissan;Kicks;Dinheiro;Méier;2023-08-06 14:25:03;2023-08-07 00:25:03
Eliane Teixeira;Volkswagen;Gol;App;Laranjeiras;2024-03-23 07:34:57;2024-03-23 10:34:57
Gabriela Barbosa;Honda;Fit;App;Méier;2023-12-06 20:28:03;2023-12-07 05:28:03
Eliane Alves;Hyundai;Creta;Dinheiro;Bangu;2024-03-20 11:32:01;2024-03-20 12:32:01
Elias Souza;Toyota;Yaris;Dinheiro;Copacabana;2024-04-11 05:49:16;2024-04-11 11:49:16
Tatiana Ferreira;Chevrolet;Cruze;App;Santa Cruz;2024-12-01 03:31:09;2024-12-01 06:31:09
Bruno Mendes;Chevrolet;Onix;Cartão;Taquara;2024-10-03 21:39:15;2024-10-04 02:39:15
Miguel Fonseca;Nissan;March;App;Botafogo;2024-04-29 18:08:44;2024-04-29 20:08:44
Rafael Vieira;Hyundai;Creta;Cartão;Copacabana;2024-06-17 14:04:25;2024-06-17 17:04:25
Guilherme Pereira;Chevrolet;Onix;App;Santa Teresa;2024-07-04 06:22:14;2024-07-04 08:22:14
Bruno Lopes;Fiat;Uno;App;Lapa;2024-02-08 11:50:03;2024-02-08 14:50:03
Fabrício Pereira;Toyota;Yaris;Cartão;Taquara;2023-12-01 22:59:40;2023-12-02 00:59:40
Guilherme Gomes;Renault;Duster;Cartão;Madureira;2024-06-17 17:48:05;2024-06-17 18:48:05
Gisele Melo;Jeep;Compass;Cartão;Santa Cruz;2023-07-04 11:43:10;2023-07-05 08:43:10
Daniela Vieira;Honda;Civic;App;Laranjeiras;2024-01-25 06:59:05;2024-01-25 17:59:05
Nina Lima;Volkswagen;Gol;Cartão;Bangu;2023-08-20 09:03:26;2023-08-20 16:03:26
Carlos Cardoso;Volkswagen;Gol;Cartão;Madureira;2024-04-04 12:55:49;2024-04-04 23:55:49
